task,seg_id,s_mean,s_sd,n_raters,pos_rate
spike,364,-1.286839653188767,0.7512390259013666,13,0.0
spike,365,-1.0995541459897251,0.124998144327462,170,0.0764705882352941
spike,366,-1.594980521569826,0.9521448211996736,18,0.0
spike,367,-0.3921228572053785,0.0611729616362691,170,0.2529411764705882
spike,368,-0.0943488867368043,0.0774887437112101,46,0.391304347826087
spike,369,0.1700733603129717,0.0712900713886955,50,0.56
spike,370,-0.619692203197103,0.2811630599117542,16,0.125
spike,371,0.1354292516980014,0.0478784746277447,164,0.6219512195121951
spike,372,-1.0510190804313182,0.2737631906619447,54,0.0555555555555555
spike,373,-1.431605362131211,0.8250956564861032,21,0.0
spike,374,-1.417594470486118,0.8294089322145596,13,0.0
spike,375,-1.4022244986706542,0.7796029020182199,11,0.0
spike,376,-0.9761341124463112,0.117772822632844,171,0.087719298245614
spike,377,-0.2464780725968283,0.188821253179102,17,0.3529411764705882
spike,378,-0.9397257687620856,0.1037800800932561,166,0.0662650602409638
spike,379,-0.8298953147318183,0.3285198139761541,16,0.0625
spike,380,-1.3433708888306022,0.7594418748745462,13,0.0
spike,381,-0.2013624387123902,0.0536275915189454,155,0.3935483870967742
spike,382,-0.8413549077820167,0.1080266203257719,147,0.0748299319727891
spike,383,-0.1339722569280766,0.0738813212634403,47,0.3617021276595745
spike,384,-0.5907338210840379,0.2646832570849451,16,0.125
spike,385,-0.4999947578426452,0.2483345128889514,14,0.1428571428571428
spike,386,-0.8554232783495466,1.279784029969106,3,0.0
spike,387,-1.096566647862433,0.1304436636745238,168,0.0654761904761904
spike,388,-0.7643828613663759,0.0910573179454626,164,0.1463414634146341
spike,389,-1.2268696998498196,0.1462778524054676,174,0.0804597701149425
spike,390,-1.659789040312255,0.8572844657421711,23,0.0
spike,391,-0.1694891504396494,0.0807286849092114,43,0.2790697674418604
spike,392,-0.5768416327222752,0.2322695980626573,21,0.1428571428571428
spike,393,-0.6228917033437118,0.1295993896948819,56,0.125
spike,394,-0.1655120430317662,0.0705779250330675,57,0.3157894736842105
spike,395,-1.2439569610185386,0.1574670908609454,160,0.05625
spike,396,-1.015457713947287,0.1136677664106471,174,0.0919540229885057
spike,397,-0.9120751711087852,0.1084120917340081,156,0.1217948717948717
spike,398,-0.6057586621386086,0.0763925004864424,161,0.1801242236024844
spike,399,-1.25963764590779,0.1405450412864337,187,0.0588235294117647
spike,400,-1.3117665852495108,0.7461091896621551,13,0.0
spike,401,-1.547899840114708,0.2264907791105586,152,0.0657894736842105
spike,402,-1.2328037130580445,0.1324817369944061,183,0.0710382513661202
spike,403,-0.939164251176898,0.1175644859451446,155,0.0838709677419354
spike,404,-0.7693707526490511,0.0846748804725496,174,0.1551724137931034
spike,405,-0.9381631745945148,0.1069372350712585,158,0.1329113924050632
spike,406,-1.2861285042310888,0.7528316332106443,12,0.0
spike,407,-1.0119423087523274,0.128680764536271,141,0.0567375886524822
spike,408,-0.3405319622663116,0.2192394090357779,16,0.1875
spike,409,-1.5000179658959594,0.8216152097312414,15,0.0
spike,410,-0.478250662032645,0.234732208115242,14,0.2142857142857142
spike,411,0.1277542286420769,0.0502849263687973,146,0.6506849315068494
spike,412,-1.790714673244529,0.8538465923851614,21,0.0
spike,413,0.2055163904275985,0.0651045772291593,55,0.6363636363636364
spike,414,-0.3819425311581068,0.0611985303486995,165,0.3151515151515151
spike,415,-1.2425837641679998,0.5455526888675206,22,0.0454545454545454
spike,416,-1.3592603118022817,0.8022398680451307,17,0.0
spike,417,-0.7820113718212248,0.0926822197534561,173,0.0751445086705202
spike,418,-0.7136626161107099,0.0932602228350908,155,0.1612903225806451
spike,419,-1.4535731218681305,0.7273463655160118,21,0.0
spike,420,-1.4030913914463583,0.7713748883975662,15,0.0
spike,421,-0.0587475207443917,0.0487865106791753,159,0.5094339622641509
spike,422,-0.1584786599128823,0.0523396358422566,154,0.422077922077922
spike,423,-1.0693237684372026,0.1288287159174879,167,0.0898203592814371
spike,424,-0.4120034654314345,0.0921652553342309,59,0.2033898305084746
